Ранг,hromada_name,katottg,"POI, од.","Площа, км²","Щільність POI, на км²"
1,Ворохтянська селищна громада,UA26120010000096774,341,274.2,1.244
2,Яремчанська міська громада,UA26120150000021671,328,273.7,1.198
3,Поляницька сільська громада,UA26120130000088448,392,327.4,1.197
4,Івано-Франківська міська громада,UA26040190000081578,204,265.7,0.768
5,Зеленська сільська громада,UA26020050000098694,200,482.2,0.415
6,Верховинська селищна громада,UA26020030000088465,170,429.4,0.396
7,Угринівська сільська громада,UA26040370000057019,7,18.6,0.376
8,Солотвинська селищна громада,UA26040290000025886,112,377.6,0.297
9,Космацька сільська громада,UA26100030000012148,31,110.0,0.282
10,Перегінська селищна громада,UA26060210000091421,184,669.6,0.275
